dmu_id,variety,area_TOTAL,productivity_weighted,operation_category,operation,equipment,product,dose_kg_ha,dose_unit,covered_area,area_tonne,n_density,p_density,k_density,so4_density,n_kg_ha_weight,p_kg_ha_weight,k_kg_ha_weight,so4_kg_ha_weight,n_kg_t,p_kg_t,k_kg_t,so4_kg_t,year,month,day
C5_2022,All,35.75,5.99,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,200.0,kg/ha,35.75,0.17,40.0,20.0,0.0,0.0,40.0,20.0,0.0,0.0,6.68,3.34,0.0,0.0,"2,022.00",7.0,5.0
C5_2022,PVL136IT,35.75,5.99,fertilisation,topdressing,centrifugal_spreader,Urea 46%,100.0,kg/ha,10.0,0.05,46.0,0.0,0.0,0.0,12.87,0.0,0.0,0.0,7.68,0.0,0.0,0.0,"2,022.00",7.0,20.0
C5_2023,All,35.44,6.23,fertilisation,basal_fertilisation,centrifugal_spreader,20-10-00,350.0,kg/ha,15.54,0.07,70.0,35.0,0.0,0.0,30.69,15.35,0.0,0.0,11.24,5.62,0.0,0.0,"2,023.00",5.0,15.0
C5_2023,All,35.44,6.23,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,300.0,kg/ha,11.6,0.05,60.0,60.0,0.0,0.0,19.64,19.64,0.0,0.0,9.63,9.63,0.0,0.0,"2,023.00",5.0,15.0
C5_2023,All,35.44,6.23,fertilisation,basal_fertilisation,centrifugal_spreader,20-08-08,300.0,kg/ha,8.3,0.04,60.0,24.0,24.0,0.0,14.05,5.62,5.62,0.0,9.63,3.85,3.85,0.0,"2,023.00",5.0,15.0
C5_2023,All,35.44,6.23,fertilisation,topdressing,centrifugal_spreader,Urea 46%,137.0,kg/ha,5.44,0.02,63.02,0.0,0.0,0.0,9.67,0.0,0.0,0.0,10.12,0.0,0.0,0.0,"2,023.00",7.0,25.0
C5_2023,All,35.44,6.23,fertilisation,topdressing,centrifugal_spreader,Nexur S (38%),121.0,kg/ha,30.0,0.14,45.98,0.0,0.0,0.0,38.92,0.0,0.0,0.0,7.38,0.0,0.0,0.0,"2,023.00",7.0,25.0
C5_2024,All,35.44,8.2,fertilisation,topdressing,centrifugal_spreader,Ammonium sulfate 21%,231.0,kg/ha,35.44,0.12,48.51,0.0,0.0,48.51,48.51,0.0,0.0,48.51,5.9158536585,0.0,0.0,5.92,"2,024.00",7.0,20.0
C5_2024,All,35.44,8.2,fertilisation,topdressing,centrifugal_spreader,Nexur S (38%),141.0,kg/ha,35.44,0.12,53.58,0.0,0.0,0.0,53.58,0.0,0.0,0.0,6.53,0.0,0.0,0.0,"2,024.00",7.0,20.0
C5_2024,All,35.44,8.2,fertilisation,basal_fertilisation,centrifugal_spreader,40-20-00,200.0,kg/ha,35.44,0.12,40.0,20.0,0.0,0.0,40.0,20.0,0.0,0.0,4.88,2.44,0.0,0.0,"2,024.00",8.0,5.0
C6_2022,All,73.11,2.15,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,360.0,kg/ha,73.11,0.47,72.0,72.0,0.0,0.0,72.0,72.0,0.0,0.0,33.49,33.49,0.0,0.0,"2,022.00",6.0,2.0
C6_2022,All,73.11,2.15,fertilisation,topdressing,centrifugal_spreader,Ammonium sulfate 21%,100.0,kg/ha,48.0,0.31,21,0.0,0.0,21.0,13.7874435782,0.0,0.0,13.79,6.412764455,0.0,0.0,9.77,"2,022.00",8.0,4.0
C6_2022,All,73.11,2.15,fertilisation,topdressing,centrifugal_spreader,Urea 46%,100.0,kg/ha,73.11,0.47,46.0,0.0,0.0,21.0,46.0,0.0,0.0,21.0,21.4,0.0,0.0,9.77,"2,022.00",8.0,4.0
C6_2023,All,71.09,2.88,fertilisation,basal_fertilisation,centrifugal_spreader,20-08-10,270.0,kg/ha,71.09,0.35,54.0,21.6,27.0,0.0,54.0,21.6,27.0,0.0,18.75,7.5,9.38,0.0,"2,023.00",5.0,2.0
C6_2023,All,71.09,2.88,fertilisation,topdressing,centrifugal_spreader,Urea 46%,175.0,kg/ha,71.09,0.35,80.5,0.0,0.0,0.0,80.5,0.0,0.0,0.0,27.95,0.0,0.0,0.0,"2,023.00",5.0,2.0
C6_2024,Diva PV,54.22,7.25,fertilisation,basal_fertilisation,centrifugal_spreader,20-20-0,270.0,kg/ha,54.22,0.14,54.0,54.0,0.0,0.0,54.0,54.0,0.0,0.0,7.45,7.45,0.0,0.0,"2,024.00",6.0,2.0
C6_2024,Diva PV,54.22,7.25,fertilisation,topdressing,airplane_sprayer,Urea 46%,160.0,kg/ha,54.22,0.14,73.6,0.0,0.0,0.0,73.6,0.0,0.0,0.0,10.15,0.0,0.0,0.0,"2,024.00",7.0,30.0
