dmu_id,variety,area_ha,productivity,year,month,day,operation_category,operation,equipment,active_substance,product,dose_kg_ha,dose_unit,dose_kg/t,dose_units,stage,Digitaria sanguinalis,Cyperus esculentus,Pyricularia,Wild Rice,Gramineae,Broadleaves,General Weeds,Weevil,Aphids,Rice Worms,Spodoptera frugiperda,Heteranthera,repetitions,covered_area,area_per_tonne
C1_2024,Formula PV,4.73,8.64,"2,024.00",5.0,31.0,crop_protection,herbicide,sprayer,MCPA,Herbinexa,0.5,kg/ha,0.06,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
C1_2024,PVL136IT,6.31,5.77,"2,024.00",5.0,31.0,crop_protection,herbicide,sprayer,Bentazone,Baza,0.96,kg/ha,0.17,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.31,0.17
C1_2024,Diva PV,11.84,8.92,"2,024.00",5.0,31.0,crop_protection,herbicide,sprayer,Bentazone,Baza,0.96,kg/ha,0.11,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.84,0.11
C1_2024,Formula PV,4.73,8.64,"2,024.00",5.0,31.0,crop_protection,herbicide,sprayer,Bentazone,Baza,0.96,kg/ha,0.11,kg/t,Tillering,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
C1_2024,PVL136IT,6.31,5.77,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Cycloxydim,Verresta,0.25,kg/ha,0.04,kg/t,2–3 leaves,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.31,0.17
C1_2024,Diva PV,11.84,8.92,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Cycloxydim,Verresta,0.25,kg/ha,0.03,kg/t,2–3 leaves,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.84,0.11
C1_2024,Formula PV,4.73,8.64,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Cycloxydim,Verresta,0.25,kg/ha,0.03,kg/t,2–3 leaves,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
C1_2024,PVL136IT,6.31,5.77,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.03,kg/t,2–3 leaves,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.31,0.17
C1_2024,Diva PV,11.84,8.92,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.02,kg/t,2–3 leaves,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.84,0.11
C1_2024,Formula PV,4.73,8.64,"2,024.00",6.0,6.0,crop_protection,herbicide,sprayer,Methyl oleate + methyl palmitate,Dash HC,0.16,kg/ha,0.02,kg/t,2–3 leaves,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.73,0.12
