dmu_id,Area,Productivity,Production,operation_category,operation,equipment,repetitions,total_area_worked,area_per_tonne,year,month,day
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,20
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,20
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,20
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,20
C1_2024,6.31,5.77,36.42,crop_protection,herbicide,sprayer,1,6.31,0.173,2024,6,20
C1_2024,11.84,8.92,105.62,crop_protection,herbicide,sprayer,1,11.84,0.112,2024,6,20
C1_2024,4.73,8.64,40.89,crop_protection,herbicide,sprayer,1,4.73,0.116,2024,6,20
C1_2024,14.21,1.57,22.27,crop_protection,fungicide,sprayer,1,14.21,0.638,2024,7,2
C1_2024,6.31,6.00,37.86,sowing,sementeira,centrifugal_spreader,1,6.31,0.167,2024,5,25
C1_2024,14.21,2.00,28.42,sowing,sementeira,centrifugal_spreader,1,14.21,0.500,2024,5,25
C1_2024,8.42,1.46,12.29,sowing,sementeira,centrifugal_spreader,1,8.42,0.685,2024,5,25
C1_2024,11.84,9.00,106.56,sowing,sementeira,centrifugal_spreader,1,11.84,0.111,2024,5,25
C1_2024,4.73,9.00,42.57,sowing,sementeira,centrifugal_spreader,1,4.73,0.111,2024,5,25
C2_2022,111.38,6.91,769.64,soil_operation,scarifier,disk_harrow,1,111.38,0.145,2022,4,15
C2_2022,111.38,6.91,769.64,soil_operation,scarifier,disk_harrow,1,111.38,0.145,2022,4,20
C2_2022,111.38,6.91,769.64,soil_operation,levelling,laser_leveler,1,111.38,0.145,2022,4,28
C2_2022,111.38,6.91,769.64,soil_operation,fertiliser_integration,rotary_tiller,1,111.38,0.145,2022,5,10
C2_2022,111.38,6.91,769.64,harvest,colheita,combine_harvester,1,111.38,0.145,2022,5,11
C2_2022,111.38,6.91,769.64,basal_fertilisation,adubação fundo,centrifugal_spreader,1,111.38,0.145,2022,5,10
C2_2022,111.38,6.91,769.64,topdressing,adubação cobertura,centrifugal_spreader,1,111.38,0.145,2022,6,25
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,4,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,4,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,4,5
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,6,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,6,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,6,5
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,6,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,6,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,6,5
C2_2022,34.06,5.46,185.97,crop_protection,herbicide,sprayer,1,34.06,0.183,2022,6,5
C2_2022,75.37,7.70,580.35,crop_protection,herbicide,sprayer,1,75.37,0.130,2022,6,5
C2_2022,1.95,5.93,11.56,crop_protection,herbicide,sprayer,1,1.95,0.169,2022,6,5
C2_2022,5.00,7.70,38.50,crop_protection,herbicide,sprayer,1,5.00,0.130,2022,6,5
C2_2022,20.00,7.70,154.00,crop_protection,pesticide,sprayer,1,20.00,0.130,2022,6,28
C2_2022,34.06,5.46,185.97,sowing,sementeira,centrifugal_spreader,1,34.06,0.183,2022,5,20
C2_2022,75.37,7.70,580.35,sowing,sementeira,centrifugal_spreader,1,75.37,0.130,2022,5,20
C2_2022,1.95,5.93,11.56,sowing,sementeira,centrifugal_spreader,1,1.95,0.169,2022,5,20
