region,year,month,month_name,tmax_mean_c,days35,days40,hw35,hw40,vpd_mean_kpa,precip_mm,nao_index,yield_kg_ha,yield_residual_pct,is_lca_year
sado,1995,10,October,25.317393991340467,0.0,0.0,0.0,0.0,0.7945584794927176,526.7719826990046,0.19,5475.0,-5.645150845608422,False
sado,1996,8,August,27.462238073861748,0.0,0.0,0.0,0.0,1.0186932183130009,13.522531986359986,1.02,6160.0100477267015,5.902245435047082,False
sado,1996,9,September,24.590242852105064,0.0,0.0,0.0,0.0,0.7765190008989625,477.64778204329315,-0.86,6160.0100477267015,5.902245435047082,False
sado,1996,10,October,23.16252570477013,0.0,0.0,0.0,0.0,0.6955702639129423,478.3717447861401,-0.33,6160.0100477267015,5.902245435047082,False
sado,1997,8,August,28.12929468736002,0.04962779156327544,0.0,0.0,0.0,1.0047018189362336,243.02398326819406,0.83,5773.46640282199,-0.9837211854214883,False
sado,1997,9,September,27.980016581217473,0.0024813895781637717,0.0,0.0,0.0,0.9832167535933127,312.20671988223916,0.61,5773.46640282199,-0.9837211854214883,False
sado,1997,10,October,23.474975771886918,0.0,0.0,0.0,0.0,0.5721064679630281,1019.600385130357,-1.7,5773.46640282199,-0.9837211854214883,False
sado,1998,8,August,31.240648298366114,0.6799007444168734,0.0,6.499999999999999,0.0,1.5415997742884064,8.44354767171909,-0.02,6069.5515066573225,3.8425441744283093,False
sado,1998,9,September,25.704908243815122,0.0,0.0,0.0,0.0,0.7667882356809851,567.5657807821482,-2.0,6069.5515066573225,3.8425441744283093,False
sado,1998,10,October,22.401224465865845,0.0,0.0,0.0,0.0,0.6485812764762693,166.28172102946968,-0.29,6069.5515066573225,3.8425441744283093,False
sado,1999,8,August,28.696378121324784,0.08684863523573201,0.0,0.0,0.0,1.0744996296786256,169.82780135739026,0.39,6140.503206709423,4.8030641566255365,False
sado,1999,9,September,24.74961513943145,0.0,0.0,0.0,0.0,0.7110629103773913,1056.4915247159631,0.36,6140.503206709423,4.8030641566255365,False
sado,1999,10,October,21.28872146879903,0.0,0.0,0.0,0.0,0.5265533028058228,1401.1638858528386,0.2,6140.503206709423,4.8030641566255365,False
sado,2000,8,August,29.89215319780468,0.3200992555831266,0.0,1.1111111111111112,0.0,1.4782457536967775,34.04825115807202,-0.29,6133.969641214351,4.439663905937493,False
sado,2000,9,September,27.951915147569466,0.18610421836228289,0.0,1.8333333333333335,0.0,1.1743828908198526,122.37233474659268,-0.21,6133.969641214351,4.439663905937493,False
sado,2000,10,October,22.313284236128634,0.0,0.0,0.0,0.0,0.6631124965138168,475.80722025713214,0.92,6133.969641214351,4.439663905937493,False
sado,2001,8,August,29.119495591467878,0.1588089330024814,0.0,0.4166666666666667,0.0,1.152598866818757,37.09717218998144,-0.07,6268.843166071803,6.479888494228699,False
sado,2001,9,September,26.589631822374155,0.004962779156327543,0.0,0.0,0.0,0.9190307932182878,399.2329141267514,-0.65,6268.843166071803,6.479888494228699,False
sado,2001,10,October,22.064769479621713,0.0,0.0,0.0,0.0,0.46517725434186513,1543.1226580280268,-0.24,6268.843166071803,6.479888494228699,False
sado,2002,8,August,28.76827064432126,0.11662531017369726,0.0,0.0,0.0,1.1881637080904301,23.93325057633749,0.38,6231.365159128978,5.589862943058199,False
sado,2002,9,September,24.087308021828004,0.0,0.0,0.0,0.0,0.5263359207679539,1174.751799660985,-0.7,6231.365159128978,5.589862943058199,False
sado,2002,10,October,21.846048137705836,0.0,0.0,0.0,0.0,0.439866404449081,806.4099388034961,-2.28,6231.365159128978,5.589862943058199,False
sado,2003,8,August,31.647646471249182,0.8957816377171215,0.1687344913151365,8.61111111111111,0.0,1.5396477199823189,48.16283357268326,-0.07,6128.5890073831015,3.600262042895856,False
