dmu_id,farmer_id,year,variety,area_ha,operation,product,n_form,frac_gasf,n_kg_ha_weight,urea_product_kg_ha,productivity_t_ha,n2o_direct_synthetic_co2eq_ha,n2o_direct_synthetic_co2eq_tonne,n2o_indirect_volatilisation_co2eq_ha,n2o_indirect_volatilisation_co2eq_tonne,n2o_indirect_leaching_co2eq_ha,n2o_indirect_leaching_co2eq_tonne,co2_from_urea_ha,co2_from_urea_tonne
C2_2023,C2,2023,All,115.21,topdressing,Nergetic 30,unknown,0.11,8.2,0.0,8.71,14.071199999999997,1.615522388059701,3.8695799999999996,0.4442686567164178,9.286991999999998,1.0662447761194027,0.0,0.0
C2_2023,C2,2023,All,115.21,topdressing,Urea 46%,urea,0.15,14.37,31.247287561843592,8.71,24.658919999999995,2.8311044776119396,9.247095,1.0616641791044774,16.2748872,1.8685289552238802,22.914677545351967,2.630847020132258
C2_2024,C2,2024,All,120.72,basal_fertilisation,20-10-00,unknown,0.11,41.75,0.0,7.39,71.643,9.694587280108255,19.701825,2.66601150202977,47.28437999999999,6.398427604871447,0.0,0.0
C2_2024,C2,2024,All,120.72,basal_fertilisation,20-20-0,unknown,0.11,18.25,0.0,7.39,31.316999999999997,4.237753721244926,8.612175,1.1653822733423547,20.669219999999996,2.7969174560216503,0.0,0.0
C2_2024,C2,2024,All,120.72,topdressing,Yara Vera Amidas (40%),unknown,0.11,6.49,0.0,7.39,11.13684,1.5070148849797023,3.0626309999999997,0.4144290933694181,7.350314399999999,0.9946298240866035,0.0,0.0
C2_2024,C2,2024,All,120.72,topdressing,Urea 46%,urea,0.15,64.02,139.16500994035786,7.39,109.85831999999999,14.865807848443843,41.19687,5.574677943166441,72.50649119999999,9.811433179972935,102.05434062292909,13.80978898821774
C3_2022,C3,2022,All,114.54,basal_fertilisation,20-10-00,unknown,0.11,40.0,0.0,4.77,68.64,14.389937106918241,18.876,3.957232704402516,45.30239999999999,9.497358490566036,0.0,0.0
C3_2022,C3,2022,All,114.54,topdressing,Urea 46%,urea,0.15,55.2,120.0,4.77,94.7232,19.858113207547174,35.5212,7.44679245283019,62.517312,13.106354716981132,88.0,18.448637316561847
C3_2022,C3,2022,All,114.54,topdressing,Ammonium sulfate 21%,ammonium_based,0.08,14.7,0.0,4.77,25.225199999999997,5.2883018867924525,5.04504,1.0576603773584907,16.648631999999996,3.4902792452830185,0.0,0.0
C3_2023,C3,2023,All,112.23,basal_fertilisation,20-10-00,unknown,0.11,41.7,0.0,5.94,71.5572,12.046666666666665,19.678230000000003,3.3128333333333337,47.227752,7.9508,0.0,0.0
C3_2023,C3,2023,All,112.23,basal_fertilisation,20-20-0,unknown,0.11,8.3,0.0,5.94,14.242799999999999,2.3977777777777773,3.9167700000000005,0.6593888888888889,9.400247999999998,1.582533333333333,0.0,0.0
C3_2023,C3,2023,All,112.23,topdressing,Urea 46%,urea,0.15,59.8,130.0,5.94,102.6168,17.275555555555552,38.4813,6.478333333333333,67.727088,11.401866666666665,95.33333333333333,16.04938271604938
C3_2024,C3,2024,All,112.23,basal_fertilisation,20-10-00,unknown,0.11,11.14,0.0,5.77,19.11624,3.3130398613518204,5.256966,0.9110859618717505,12.616718399999998,2.186606308492201,0.0,0.0
C3_2024,C3,2024,All,112.23,basal_fertilisation,20-20-0,unknown,0.11,38.86,0.0,5.77,66.68376,11.556977469670713,18.338034000000004,3.1781688041594465,44.01128159999999,7.627605129982668,0.0,0.0
C3_2024,C3,2024,All,112.23,topdressing,Urea 46%,urea,0.15,64.4,140.0,5.77,110.51040000000002,19.152582322357024,41.4414,7.182218370883883,72.936864,12.640704332755634,102.66666666666666,17.793183131138072
C4_2022,C4,2022,Ronaldo,25.21,basal_fertilisation,15-15-15,unknown,0.11,39.0,0.0,3.62,66.92399999999999,18.487292817679556,18.4041,5.084005524861878,44.16983999999999,12.201613259668505,0.0,0.0
C4_2022,C4,2022,Ronaldo,25.21,topdressing,Urea 46%,urea,0.15,63.79,138.68385561285206,3.62,109.46364,30.23857458563536,41.048865,11.339465469613259,72.2460024,19.957459226519337,101.70149411609151,28.0943353911855
C4_2023,C4,2023,All,23.84,basal_fertilisation,20-10-00,unknown,0.11,60.0,0.0,4.5,102.96,22.88,28.314,6.292,67.9536,15.1008,0.0,0.0
C4_2023,C4,2023,All,23.84,topdressing,Urea 46%,urea,0.15,86.48,188.0,4.5,148.39968,32.97770666666666,55.64988,12.36664,97.9437888,21.765286399999997,137.86666666666667,30.63703703703704
C4_2024,C4,2024,All,23.87,basal_fertilisation,20-20-0,unknown,0.11,70.0,0.0,8.276,120.12000000000002,14.514258095698407,33.033,3.9914209763170616,79.2792,9.579410343160948,0.0,0.0
C4_2024,C4,2024,All,23.87,topdressing,Urea 46%,urea,0.15,46.0,100.0,8.276,78.936,9.537941034316097,29.600999999999996,3.576727887868535,52.09775999999999,6.295041082648621,73.33333333333333,8.860963428387304
C5_2022,C5,2022,Ronaldo,35.75,topdressing,Nexur S (38%),unknown,0.11,27.37,0.0,5.99,46.96692,7.840888146911519,12.915903,2.156244240400668,30.998167199999997,5.174986176961602,0.0,0.0
C5_2022,C5,2022,All,35.75,basal_fertilisation,20-10-00,unknown,0.11,40.0,0.0,5.99,68.64,11.459098497495827,18.876,3.1512520868113523,45.30239999999999,7.563005008347243,0.0,0.0
C5_2022,C5,2022,PVL136IT,35.75,topdressing,Urea 46%,urea,0.15,12.87,27.972027972027973,5.99,22.084919999999997,3.6869649415692813,8.281844999999999,1.3826118530884806,14.576047199999998,2.433396861435726,20.512820512820515,3.424510937031805
C5_2023,C5,2023,All,35.44,basal_fertilisation,20-10-00,unknown,0.11,30.69,0.0,6.23,52.66404,8.45329695024077,14.482611000000002,2.324656661316212,34.7582664,5.579175987158908,0.0,0.0
C5_2023,C5,2023,All,35.44,basal_fertilisation,20-20-0,unknown,0.11,19.64,0.0,6.23,33.70224,5.409669341894062,9.268116000000001,1.4876590690208669,22.2434784,3.57038176565008,0.0,0.0
C5_2023,C5,2023,All,35.44,basal_fertilisation,20-08-08,unknown,0.11,14.05,0.0,6.23,24.1098,3.8699518459069018,6.6301950000000005,1.064236757624398,15.912468,2.5541682182985554,0.0,0.0
C5_2023,C5,2023,All,35.44,topdressing,Urea 46%,urea,0.15,9.67,21.0293453724605,6.23,16.593719999999998,2.6635184590690204,6.222645,0.9988194221508827,10.951855199999997,1.7579221829855531,15.421519939804368,2.475364356308887
C5_2023,C5,2023,All,35.44,topdressing,Nexur S (38%),unknown,0.11,38.92,0.0,6.23,66.78672,10.720179775280899,18.366348000000002,2.9480494382022475,44.07923519999999,7.075318651685391,0.0,0.0
C5_2024,C5,2024,All,35.44,topdressing,Ammonium sulfate 21%,ammonium_based,0.08,48.51,0.0,8.2,83.24315999999999,10.15160487804878,16.648632,2.030320975609756,54.94048559999999,6.700059219512195,0.0,0.0
C5_2024,C5,2024,All,35.44,topdressing,Nexur S (38%),unknown,0.11,53.58,0.0,8.2,91.94328,11.212595121951221,25.284402,3.0834636585365858,60.682564799999994,7.400312780487805,0.0,0.0
C5_2024,C5,2024,All,35.44,basal_fertilisation,40-20-00,unknown,0.11,40.0,0.0,8.2,68.64,8.370731707317074,18.876,2.3019512195121954,45.30239999999999,5.524682926829268,0.0,0.0
C6_2022,C6,2022,All,73.11,basal_fertilisation,20-20-0,unknown,0.11,72.0,0.0,2.15,123.55200000000002,57.466046511627916,33.976800000000004,15.803162790697677,81.54432,37.92759069767442,0.0,0.0
C6_2022,C6,2022,All,73.11,topdressing,Ammonium sulfate 21%,ammonium_based,0.08,13.7874435782,0.0,2.15,23.6592531801912,11.004303804740093,4.7318506360382395,2.2008607609480184,15.61510709892619,7.262840511128461,0.0,0.0
C6_2022,C6,2022,All,73.11,topdressing,Urea 46%,urea,0.15,46.0,100.0,2.15,78.936,36.714418604651165,29.600999999999996,13.767906976744184,52.09775999999999,24.231516279069762,73.33333333333333,34.10852713178294
C6_2023,C6,2023,All,71.09,basal_fertilisation,20-08-10,unknown,0.11,54.0,0.0,2.88,92.664,32.175000000000004,25.482600000000005,8.848125000000001,61.15824,21.235500000000002,0.0,0.0
C6_2023,C6,2023,All,71.09,topdressing,Urea 46%,urea,0.15,80.5,175.0,2.88,138.138,47.96458333333334,51.80175,17.98671875,91.17107999999999,31.656625,128.33333333333331,44.56018518518518
C6_2024,C6,2024,Diva PV,54.22,basal_fertilisation,20-20-0,unknown,0.11,54.0,0.0,7.35,92.664,12.60734693877551,25.482600000000005,3.467020408163266,61.15824,8.320848979591837,0.0,0.0
C6_2024,C6,2024,Diva PV,54.22,topdressing,Urea 46%,urea,0.15,73.6,160.00000000000003,7.35,126.29759999999999,17.18334693877551,47.361599999999996,6.443755102040816,83.35641599999998,11.341008979591836,117.33333333333336,15.963718820861683
C7_2023,C7,2023,All,37.33,topdressing,Nergetic 30,unknown,0.11,11.78,0.0,6.65,20.214479999999995,3.0397714285714277,5.558981999999999,0.8359371428571427,13.3415568,2.0062491428571425,0.0,0.0
C7_2023,C7,2023,All,37.33,topdressing,Urea 46%,urea,0.15,55.45,120.54647736405036,6.65,95.15220000000001,14.308601503759398,35.682075000000005,5.365725563909775,62.80045199999999,9.443676992481201,88.40075006697028,13.293345874732372
C7_2023,C7,2023,All,37.33,basal_fertilisation,15-15-15,unknown,0.11,45.0,0.0,6.65,77.22,11.612030075187969,21.235500000000002,3.1933082706766918,50.96519999999999,7.663939849624058,0.0,0.0
C7_2024,C7,2024,All,37.33,basal_fertilisation,15-15-15,unknown,0.11,31.34,0.0,4.99,53.77944,10.777442885771542,14.789345999999998,2.963796793587174,35.4944304,7.113112304609218,0.0,0.0
C7_2024,C7,2024,All,37.33,basal_fertilisation,15-15-15,unknown,0.11,31.34,0.0,4.99,53.77944,10.777442885771542,14.789345999999998,2.963796793587174,35.4944304,7.113112304609218,0.0,0.0
C7_2024,C7,2024,All,37.33,basal_fertilisation,20-08-10,unknown,0.11,22.5,0.0,4.99,38.61,7.7374749498997994,10.617750000000001,2.127805611222445,25.482599999999994,5.106733466933866,0.0,0.0
C7_2024,C7,2024,All,37.33,topdressing,Urea 46%,urea,0.15,55.23,120.06429145459417,4.99,94.77468,18.992921843687373,35.540504999999996,7.1223456913827645,62.55128879999999,12.535328416833664,88.0471470667024,17.644718851042562
C8_2022,C8,2022,All,58.32,basal_fertilisation,20-10-00,unknown,0.11,50.0,0.0,5.56,85.8,15.431654676258994,23.595,4.243705035971223,56.628,10.184892086330937,0.0,0.0
C8_2022,C8,2022,All,58.32,topdressing,Urea 46%,urea,0.15,69.0,150.0,5.56,118.404,21.295683453237412,44.4015,7.985881294964029,78.14663999999999,14.05515107913669,110.0,19.784172661870507
C8_2022,C8,2022,Gládio,58.32,topdressing,Ammonium sulfate 21%,ammonium_based,0.08,4.5010288066,0.0,5.56,7.7237654321256,1.3891664446269067,1.54475308642512,0.27783328892538134,5.097685185202895,0.9168498534537581,0.0,0.0
C8_2023,C8,2023,All,58.34,topdressing,Urea 46%,urea,0.15,32.03,69.64004113815562,5.73,54.963480000000004,9.592230366492146,20.611304999999998,3.5970863874345542,36.27589679999999,6.330872041884815,51.06936350131412,8.912628883300894
C8_2023,C8,2023,All,58.34,basal_fertilisation,15-15-15,unknown,0.11,44.77,0.0,5.73,76.82532,13.407560209424084,21.126963000000003,3.6870790575916232,50.70471119999999,8.848989738219894,0.0,0.0
C8_2024,C8,2024,All,59.12,basal_fertilisation,20-20-0,unknown,0.11,60.0,0.0,3.95,102.96,26.065822784810123,28.314,7.168101265822784,67.9536,17.203443037974683,0.0,0.0
