dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
C3_2023,C3,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C3_2023,C3,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,83.3976
C3_2023,C3,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,105.98444999999998
C3_2023,C3,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,11.96
C3_2024,C3,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C3_2024,C3,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,147.2328
C3_2024,C3,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C3_2024,C3,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,89.3178
C3_2024,C3,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,110.42459999999998
C3_2024,C3,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,12.880000000000003
C4_2022,C4,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C4_2022,C4,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,132.29661619992066
C4_2022,C4,2022,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C4_2022,C4,2022,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,87.12291619992067
C4_2022,C4,2022,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,99.22246214994048
C4_2022,C4,2022,ha,co2,co2_from_urea,Climate change,kg CO2 eq,12.758914716382389
C4_2023,C4,2023,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C4_2023,C4,2023,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,188.51976000000002
C4_2023,C4,2023,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C4_2023,C4,2023,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,119.02176
C4_2023,C4,2023,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,141.38982
C4_2023,C4,2023,ha,co2,co2_from_urea,Climate change,kg CO2 eq,17.296000000000003
C4_2024,C4,2024,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C4_2024,C4,2024,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,149.29199999999997
C4_2024,C4,2024,ha,n2o,n2o_direct_straw,Climate change,kg CO2 eq,52.1235
C4_2024,C4,2024,ha,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,68.21099999999998
C4_2024,C4,2024,ha,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,111.969
C4_2024,C4,2024,ha,co2,co2_from_urea,Climate change,kg CO2 eq,9.200000000000001
C5_2022,C5,2022,ha,ch4,ch4_total,Climate change,kg CO2 eq,17589.298272
C5_2022,C5,2022,ha,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,103.266
