dmu_id,farmer_id,year,basis,gas,component,impact_category,impact_unit,field_emissions_impact
D1_2024,D1,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,12.23556338028169
D1_2024,D1,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,11.299014084507043
D1_2024,D1,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,27.1176338028169
D1_2024,D1,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,0.0
D2_2022,D2,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,3379.3404878048777
D2_2022,D2,2022,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,200.78595121951219
D2_2022,D2,2022,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,56.502439024390235
D2_2022,D2,2022,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,64.8368975609756
D2_2022,D2,2022,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,132.518727804878
D2_2022,D2,2022,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,89.38181039329605
D2_2023,D2,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,858.7993388429751
D2_2023,D2,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,29.00181818181818
D2_2023,D2,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,14.359090909090908
D2_2023,D2,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,9.280227272727274
D2_2023,D2,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,19.141199999999998
D2_2023,D2,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,12.121212121212121
D2_2024,D2,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,613.9717577548006
D2_2024,D2,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,26.867946824224525
D2_2024,D2,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,10.265583456425405
D2_2024,D2,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,8.554652880354505
D2_2024,D2,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,17.732844903988184
D2_2024,D2,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,10.832102412604629
NT1_2023,NT1,2023,tonne,ch4,ch4_total,Climate change,kg CO2 eq,640.4605238828967
NT1_2023,NT1,2023,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,23.690847457627118
NT1_2023,NT1,2023,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,10.708474576271184
NT1_2023,NT1,2023,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,6.514983050847458
NT1_2023,NT1,2023,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,15.635959322033896
NT1_2023,NT1,2023,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,0.0
NT1_2024,NT1,2024,tonne,ch4,ch4_total,Climate change,kg CO2 eq,584.6116455696201
NT1_2024,NT1,2024,tonne,n2o,n2o_direct_synthetic,Climate change,kg CO2 eq,72.90707172995782
NT1_2024,NT1,2024,tonne,n2o,n2o_direct_straw,Climate change,kg CO2 eq,9.774683544303796
NT1_2024,NT1,2024,tonne,n2o,n2o_indirect_volatilisation,Climate change,kg CO2 eq,20.049444725738397
NT1_2024,NT1,2024,tonne,n2o,n2o_indirect_leaching,Climate change,kg CO2 eq,48.118667341772145
NT1_2024,NT1,2024,tonne,co2,co2_from_urea,Climate change,kg CO2 eq,0.0
NT2_2022,NT2,2022,tonne,ch4,ch4_total,Climate change,kg CO2 eq,1013.8021463414634
