equipment,single_score_file,impact_category,impact_unit,factor_per_ha_worked,factor_unit,source_factor_unit,m2_to_ha_multiplier
sprayer,sprayer_singlescore_15.json,Ozone depletion,Pt,4.765600000000001e-10,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Ionising radiation,Pt,24.264999999999997,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Photochemical ozone formation,Pt,0.037635999999999996,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Particulate matter,Pt,7.844600000000002e-12,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, non-cancer",Pt,1.1099799999999999e-12,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, cancer",Pt,1.5661999999999999e-15,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Acidification,Pt,0.057448000000000006,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Eutrophication, freshwater",Pt,5.6032e-06,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Eutrophication, marine",Pt,0.005413480000000001,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Eutrophication, terrestrial",Pt,0.46252800000000005,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Ecotoxicity, freshwater",Pt,7323.02,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Land use,Pt,11114430.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Water use,Pt,230.065,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Resource use, fossils",Pt,127767.9,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Resource use, minerals and metals",Pt,1.3968e-07,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Climate change - Fossil,Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Climate change - Biogenic,Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,Climate change - Land use and LU change,Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, non-cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, non-cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, non-cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, cancer - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, cancer - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Human toxicity, cancer - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Ecotoxicity, freshwater - organics",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Ecotoxicity, freshwater - inorganics",Pt,0.0,1 ha worked,1 m2 worked,10000
sprayer,sprayer_singlescore_15.json,"Ecotoxicity, freshwater - metals",Pt,0.0,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Total,Pt,101551998.37990059,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Climate change,Pt,293625.3,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Ozone depletion,Pt,4.4843999999999994e-08,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Ionising radiation,Pt,2213.39,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Photochemical ozone formation,Pt,4.268,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Particulate matter,Pt,3.4657700000000003e-10,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, non-cancer",Pt,3.0240399999999995e-11,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Human toxicity, cancer",Pt,1.0988000000000001e-13,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Acidification,Pt,6.1575999999999995,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Eutrophication, freshwater",Pt,0.00048615999999999997,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Eutrophication, marine",Pt,0.610902,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Eutrophication, terrestrial",Pt,52.3629,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,"Ecotoxicity, freshwater",Pt,619566.99,1 ha worked,1 m2 worked,10000
combine_harvester,combine_harvester_singlescore_16.json,Land use,Pt,88815540.0,1 ha worked,1 m2 worked,10000
