dmu_id,farmer_id,year,n_kg_ha,crop_protection_kg_ai_ha,soil_operation_intensity_ha_ha,yield_kg_ha,cluster,PC1,PC2,PC3,PC4,variant
C2_2022,C2,2022,101.4,1.4846435626,4.0,6984.019572634225,2,0.7111773084486084,0.2931947329452213,-0.12083561943157431,-0.5858938559773219,winsor_p95
C3_2022,C3,2022,95.2,1.4389907456,5.0,4332.396542692509,1,-0.38019780461086544,0.3749404841008965,-0.5507434867329856,0.48309717213517395,winsor_p95
C4_2022,C4,2022,102.79,2.7279571599,5.0,3619.999999999999,1,-1.6473256314848734,0.8109600393741118,-0.16902121288354896,-0.31517571086047796,winsor_p95
C5_2022,C5,2022,80.24,0.7027972028,5.0,5987.272727272727,2,0.8959141690226301,0.37090113880200803,-1.1072177636075589,0.5300286355635444,winsor_p95
C6_2022,C6,2022,118.0,1.0314006292,4.0,2150.0,1,-0.8733788231382952,-0.10287721724733588,0.582536297168403,1.5385940651954368,winsor_p95
C8_2022,C8,2022,119.0,3.0467591188500003,4.0,5553.991769547324,1,-1.108118442886948,0.5978690834442134,0.5760767562157154,-1.3940462558327413,winsor_p95
D1_2022,D1,2022,79.44,3.0467591188500003,5.0,1360.0,1,-2.4887638316578444,1.8610617142235668,-0.4778582049781181,0.48774336758044873,winsor_p95
D2_2022,D2,2022,143.92,2.47,5.0,1230.0,1,-2.7082308922166627,-0.43666519973945145,0.9166664922404362,0.5187875314768736,winsor_p95
NT2_2022,NT2,2022,65.45,1.05,2.0,4069.999999999999,2,0.7251121966681059,1.982807375286909,0.23825280380634484,1.259586817126014,winsor_p95
C1_2023,C1,2023,129.0,1.0421533728,5.0,4323.4805537244565,3,-0.4048941352669862,-0.8794821670931098,0.16425671809534056,0.5510531050096426,winsor_p95
C2_2023,C2,2023,78.37,0.5864959639,5.0,8707.223331308047,2,1.9891066008169673,0.17910670680272628,-1.37903339077597,-0.4265612689729367,winsor_p95
C3_2023,C3,2023,109.8,0.4528842556,5.0,5701.25813062461,3,0.7022278845879858,-0.6592705053137509,-0.44822216809374826,0.6212294688166929,winsor_p95
C4_2023,C4,2023,144.81599999999997,0.3889261745,5.0,4503.959731543624,3,-0.008981777751923412,-1.705930347709165,0.4282633248261638,0.880872059093127,winsor_p95
C5_2023,C5,2023,112.97,1.248510158,5.0,6136.952595936795,3,0.2530757762006531,-0.40502966102032595,-0.3161882313161713,-0.20228317942826754,winsor_p95
C6_2023,C6,2023,134.5,2.2741707694,4.0,2880.0,1,-1.6629102956003152,-0.0724799821029312,1.0451197426790289,0.1476340806729695,winsor_p95
C7_2023,C7,2023,112.23,2.56,5.0,6650.458076613983,1,-0.5071593214310873,0.21628596826641747,-0.21675166833410534,-1.4357164662460793,winsor_p95
