dmu_id,farmer_id,year,basis,impact_category,impact_unit,seed_amount_kg_ha,seed_amount_kg_tonne,seed_factor_per_unit,seed_factor_unit,characterisation_sheet,single_score_file,sowing_total_impact
C6_2024,C6,2024,tonne,Climate change,kg CO2 eq,,24.8275862069,3.399088,1 kg seed,1_chara,,84.3911503448393
C6_2024,C6,2024,tonne,Climate change - Biogenic,kg CO2 eq,,24.8275862069,2.889202,1 kg seed,1_chara,,71.73191172414789
C6_2024,C6,2024,tonne,Climate change - Fossil,kg CO2 eq,,24.8275862069,0.50857,1 kg seed,1_chara,,12.626565517243133
C6_2024,C6,2024,tonne,Climate change - Land use and LU change,kg CO2 eq,,24.8275862069,0.001315,1 kg seed,1_chara,,0.0326482758620735
C6_2024,C6,2024,tonne,"Ecotoxicity, freshwater",CTUe,,24.8275862069,98.81796,1 kg seed,1_chara,,2453.4114206899962
C6_2024,C6,2024,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,24.8275862069,0.974135,1 kg seed,1_chara,,24.18542068965853
C6_2024,C6,2024,tonne,"Ecotoxicity, freshwater - metals",CTUe,,24.8275862069,5.625106,1 kg seed,1_chara,,139.65780413795042
C6_2024,C6,2024,tonne,"Ecotoxicity, freshwater - organics",CTUe,,24.8275862069,92.21872,1 kg seed,1_chara,,2289.5682206899733
C6_2024,C6,2024,tonne,"Eutrophication, freshwater",kg P eq,,24.8275862069,0.000426,1 kg seed,1_chara,,0.010576551724139401
C6_2024,C6,2024,tonne,"Eutrophication, marine",kg N eq,,24.8275862069,0.003472,1 kg seed,1_chara,,0.0862013793103568
C6_2024,C6,2024,tonne,"Eutrophication, terrestrial",mol N eq,,24.8275862069,0.015836,1 kg seed,1_chara,,0.3931696551724684
C6_2024,C6,2024,tonne,"Human toxicity, cancer",CTUh,,24.8275862069,4.69e-10,1 kg seed,1_chara,,1.1644137931036102e-08
C6_2024,C6,2024,tonne,"Human toxicity, cancer - inorganics",CTUh,,24.8275862069,1.3e-23,1 kg seed,1_chara,,3.227586206897e-22
C6_2024,C6,2024,tonne,"Human toxicity, cancer - metals",CTUh,,24.8275862069,4.14e-10,1 kg seed,1_chara,,1.0278620689656602e-08
C6_2024,C6,2024,tonne,"Human toxicity, cancer - organics",CTUh,,24.8275862069,5.57e-11,1 kg seed,1_chara,,1.3828965517243301e-09
C6_2024,C6,2024,tonne,"Human toxicity, non-cancer",CTUh,,24.8275862069,4.97e-08,1 kg seed,1_chara,,1.2339310344829302e-06
C6_2024,C6,2024,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,24.8275862069,7.61e-10,1 kg seed,1_chara,,1.88937931034509e-08
C6_2024,C6,2024,tonne,"Human toxicity, non-cancer - metals",CTUh,,24.8275862069,3.77e-08,1 kg seed,1_chara,,9.3600000000013e-07
C6_2024,C6,2024,tonne,"Human toxicity, non-cancer - organics",CTUh,,24.8275862069,1.13e-08,1 kg seed,1_chara,,2.8055172413797003e-07
C6_2024,C6,2024,tonne,Ionising radiation,kBq U-235 eq,,24.8275862069,0.024891,1 kg seed,1_chara,,0.617983448275948
C6_2024,C6,2024,tonne,Land use,Pt,,24.8275862069,152.1972,1 kg seed,1_chara,,3778.6891034488012
C6_2024,C6,2024,tonne,Ozone depletion,kg CFC11 eq,,24.8275862069,5.26e-08,1 kg seed,1_chara,,1.30593103448294e-06
C6_2024,C6,2024,tonne,Particulate matter,disease inc.,,24.8275862069,6.3e-08,1 kg seed,1_chara,,1.5641379310347e-06
C6_2024,C6,2024,tonne,Photochemical ozone formation,kg NMVOC eq,,24.8275862069,0.00338,1 kg seed,1_chara,,0.08391724137932201
C6_2024,C6,2024,tonne,"Resource use, fossils",MJ,,24.8275862069,4.956983,1 kg seed,1_chara,,123.06992275863779
C6_2024,C6,2024,tonne,"Resource use, minerals and metals",kg Sb eq,,24.8275862069,3.84e-06,1 kg seed,1_chara,,9.5337931034496e-05
C6_2024,C6,2024,tonne,Water use,m3 depriv.,,24.8275862069,32.39614,1 kg seed,1_chara,,804.3179586208015
C7_2023,C7,2023,tonne,Acidification,mol H+ eq,,24.0584931379,0.003484,1 kg seed,1_chara,,0.08381979009244361
C7_2023,C7,2023,tonne,Climate change,kg CO2 eq,,24.0584931379,3.399088,1 kg seed,1_chara,,81.77693532311824
C7_2023,C7,2023,tonne,Climate change - Biogenic,kg CO2 eq,,24.0584931379,2.889202,1 kg seed,1_chara,,69.50984649100695
C7_2023,C7,2023,tonne,Climate change - Fossil,kg CO2 eq,,24.0584931379,0.50857,1 kg seed,1_chara,,12.235427855141802
C7_2023,C7,2023,tonne,Climate change - Land use and LU change,kg CO2 eq,,24.0584931379,0.001315,1 kg seed,1_chara,,0.0316369184763385
C7_2023,C7,2023,tonne,"Ecotoxicity, freshwater",CTUe,,24.0584931379,98.81796,1 kg seed,1_chara,,2377.411212561277
C7_2023,C7,2023,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,24.0584931379,0.974135,1 kg seed,1_chara,,23.436220212888216
C7_2023,C7,2023,tonne,"Ecotoxicity, freshwater - metals",CTUe,,24.0584931379,5.625106,1 kg seed,1_chara,,135.33157410096013
C7_2023,C7,2023,tonne,"Ecotoxicity, freshwater - organics",CTUe,,24.0584931379,92.21872,1 kg seed,1_chara,,2218.643442305922
C7_2023,C7,2023,tonne,"Eutrophication, freshwater",kg P eq,,24.0584931379,0.000426,1 kg seed,1_chara,,0.010248918076745401
C7_2023,C7,2023,tonne,"Eutrophication, marine",kg N eq,,24.0584931379,0.003472,1 kg seed,1_chara,,0.0835310881747888
C7_2023,C7,2023,tonne,"Eutrophication, terrestrial",mol N eq,,24.0584931379,0.015836,1 kg seed,1_chara,,0.3809902973317844
C7_2023,C7,2023,tonne,"Human toxicity, cancer",CTUh,,24.0584931379,4.69e-10,1 kg seed,1_chara,,1.12834332816751e-08
C7_2023,C7,2023,tonne,"Human toxicity, cancer - inorganics",CTUh,,24.0584931379,1.3e-23,1 kg seed,1_chara,,3.1276041079270002e-22
C7_2023,C7,2023,tonne,"Human toxicity, cancer - metals",CTUh,,24.0584931379,4.14e-10,1 kg seed,1_chara,,9.9602161590906e-09
C7_2023,C7,2023,tonne,"Human toxicity, cancer - organics",CTUh,,24.0584931379,5.57e-11,1 kg seed,1_chara,,1.34005806778103e-09
C7_2023,C7,2023,tonne,"Human toxicity, non-cancer",CTUh,,24.0584931379,4.97e-08,1 kg seed,1_chara,,1.1957071089536301e-06
C7_2023,C7,2023,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,24.0584931379,7.61e-10,1 kg seed,1_chara,,1.83085132779419e-08
C7_2023,C7,2023,tonne,"Human toxicity, non-cancer - metals",CTUh,,24.0584931379,3.77e-08,1 kg seed,1_chara,,9.070051912988301e-07
C7_2023,C7,2023,tonne,"Human toxicity, non-cancer - organics",CTUh,,24.0584931379,1.13e-08,1 kg seed,1_chara,,2.7186097245827e-07
C7_2023,C7,2023,tonne,Ionising radiation,kBq U-235 eq,,24.0584931379,0.024891,1 kg seed,1_chara,,0.598839952695469
C7_2023,C7,2023,tonne,Land use,Pt,,24.0584931379,152.1972,1 kg seed,1_chara,,3661.635291807594
C7_2023,C7,2023,tonne,Ozone depletion,kg CFC11 eq,,24.0584931379,5.26e-08,1 kg seed,1_chara,,1.2654767390535401e-06
C7_2023,C7,2023,tonne,Particulate matter,disease inc.,,24.0584931379,6.3e-08,1 kg seed,1_chara,,1.5156850676877e-06
C7_2023,C7,2023,tonne,Photochemical ozone formation,kg NMVOC eq,,24.0584931379,0.00338,1 kg seed,1_chara,,0.08131770680610201
C7_2023,C7,2023,tonne,"Resource use, fossils",MJ,,24.0584931379,4.956983,1 kg seed,1_chara,,119.25754149018697
C7_2023,C7,2023,tonne,"Resource use, minerals and metals",kg Sb eq,,24.0584931379,3.84e-06,1 kg seed,1_chara,,9.2384613649536e-05
C7_2023,C7,2023,tonne,Water use,m3 depriv.,,24.0584931379,32.39614,1 kg seed,1_chara,,779.4023118844478
C7_2024,C7,2024,tonne,Acidification,mol H+ eq,,40.2412127819,0.003484,1 kg seed,1_chara,,0.1402003853321396
C7_2024,C7,2024,tonne,Climate change,kg CO2 eq,,40.2412127819,3.399088,1 kg seed,1_chara,,136.78342347240292
C7_2024,C7,2024,tonne,Climate change - Biogenic,kg CO2 eq,,40.2412127819,2.889202,1 kg seed,1_chara,,116.26499245189106
C7_2024,C7,2024,tonne,Climate change - Fossil,kg CO2 eq,,40.2412127819,0.50857,1 kg seed,1_chara,,20.465473584490883
C7_2024,C7,2024,tonne,Climate change - Land use and LU change,kg CO2 eq,,40.2412127819,0.001315,1 kg seed,1_chara,,0.0529171948081985
C7_2024,C7,2024,tonne,"Ecotoxicity, freshwater",CTUe,,40.2412127819,98.81796,1 kg seed,1_chara,,3976.554555033283
C7_2024,C7,2024,tonne,"Ecotoxicity, freshwater - inorganics",CTUe,,40.2412127819,0.974135,1 kg seed,1_chara,,39.20037381329616
C7_2024,C7,2024,tonne,"Ecotoxicity, freshwater - metals",CTUe,,40.2412127819,5.625106,1 kg seed,1_chara,,226.3610874667424
C7_2024,C7,2024,tonne,"Ecotoxicity, freshwater - organics",CTUe,,40.2412127819,92.21872,1 kg seed,1_chara,,3710.993133994458
C7_2024,C7,2024,tonne,"Eutrophication, freshwater",kg P eq,,40.2412127819,0.000426,1 kg seed,1_chara,,0.0171427566450894
C7_2024,C7,2024,tonne,"Eutrophication, marine",kg N eq,,40.2412127819,0.003472,1 kg seed,1_chara,,0.1397174907787568
C7_2024,C7,2024,tonne,"Eutrophication, terrestrial",mol N eq,,40.2412127819,0.015836,1 kg seed,1_chara,,0.6372598456141684
C7_2024,C7,2024,tonne,"Human toxicity, cancer",CTUh,,40.2412127819,4.69e-10,1 kg seed,1_chara,,1.8873128794711104e-08
C7_2024,C7,2024,tonne,"Human toxicity, cancer - inorganics",CTUh,,40.2412127819,1.3e-23,1 kg seed,1_chara,,5.231357661647e-22
C7_2024,C7,2024,tonne,"Human toxicity, cancer - metals",CTUh,,40.2412127819,4.14e-10,1 kg seed,1_chara,,1.6659862091706603e-08
C7_2024,C7,2024,tonne,"Human toxicity, cancer - organics",CTUh,,40.2412127819,5.57e-11,1 kg seed,1_chara,,2.24143555195183e-09
C7_2024,C7,2024,tonne,"Human toxicity, non-cancer",CTUh,,40.2412127819,4.97e-08,1 kg seed,1_chara,,1.9999882752604303e-06
C7_2024,C7,2024,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,40.2412127819,7.61e-10,1 kg seed,1_chara,,3.06235629270259e-08
C7_2024,C7,2024,tonne,"Human toxicity, non-cancer - metals",CTUh,,40.2412127819,3.77e-08,1 kg seed,1_chara,,1.5170937218776301e-06
C7_2024,C7,2024,tonne,"Human toxicity, non-cancer - organics",CTUh,,40.2412127819,1.13e-08,1 kg seed,1_chara,,4.5472570443547004e-07
C7_2024,C7,2024,tonne,Ionising radiation,kBq U-235 eq,,40.2412127819,0.024891,1 kg seed,1_chara,,1.001644027354273
C7_2024,C7,2024,tonne,Land use,Pt,,40.2412127819,152.1972,1 kg seed,1_chara,,6124.599910009391
C7_2024,C7,2024,tonne,Ozone depletion,kg CFC11 eq,,40.2412127819,5.26e-08,1 kg seed,1_chara,,2.1166877923279404e-06
C7_2024,C7,2024,tonne,Particulate matter,disease inc.,,40.2412127819,6.3e-08,1 kg seed,1_chara,,2.5351964052597e-06
C7_2024,C7,2024,tonne,Photochemical ozone formation,kg NMVOC eq,,40.2412127819,0.00338,1 kg seed,1_chara,,0.13601529920282202
C7_2024,C7,2024,tonne,"Resource use, fossils",MJ,,40.2412127819,4.956983,1 kg seed,1_chara,,199.47500765926102
