dmu_id,farmer_id,year,basis,impact_category,impact_unit,water_amount_m3_ha,water_amount_m3_tonne,water_factor_per_unit,water_factor_unit,characterisation_sheet,single_score_file,water_total_impact
C1_2024,C1,2024,tonne,"Resource use, minerals and metals",Pt,,2367.866,0.0,1 m3 water,,singlescore_18.json,0.0
C1_2024,C1,2024,tonne,Total,Pt,,2367.866,48558.4,1 m3 water,,singlescore_18.json,114979784.3744
C1_2024,C1,2024,tonne,Water use,Pt,,2367.866,48558.4,1 m3 water,,singlescore_18.json,114979784.3744
C2_2022,C2,2022,tonne,Acidification,Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,Climate change,Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,Climate change - Biogenic,Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,Climate change - Fossil,Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,Climate change - Land use and LU change,Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Ecotoxicity, freshwater",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Ecotoxicity, freshwater - inorganics",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Ecotoxicity, freshwater - metals",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Ecotoxicity, freshwater - organics",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Eutrophication, freshwater",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Eutrophication, marine",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Eutrophication, terrestrial",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Human toxicity, cancer",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Human toxicity, cancer - inorganics",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Human toxicity, cancer - metals",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
C2_2022,C2,2022,tonne,"Human toxicity, cancer - organics",Pt,,1637.974,0.0,1 m3 water,,singlescore_18.json,0.0
