dmu_id,farmer_id,year,basis,impact_category,impact_unit,n_amount_kg_ha,p_amount_kg_ha,k_amount_kg_ha,n_amount_kg_tonne,p_amount_kg_tonne,k_amount_kg_tonne,n_factor_per_unit,p_factor_per_unit,k_factor_per_unit,n_factor_unit,p_factor_unit,k_factor_unit,n_characterisation_sheet,p_characterisation_sheet,k_characterisation_sheet,n_single_score_file,p_single_score_file,k_single_score_file,n_impact,p_impact,k_impact,fertilisation_total_impact
C8_2022,C8,2022,tonne,"Ecotoxicity, freshwater - metals",CTUe,,,,21.4,4.5,0.0,16.52071,320.1271,1619.55,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,353.543194,1440.57195,0.0,1794.115144
C8_2022,C8,2022,tonne,"Ecotoxicity, freshwater - organics",CTUe,,,,21.4,4.5,0.0,0.174143,0.721252,0.87605,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,3.7266601999999995,3.245634,0.0,6.972294199999999
C8_2022,C8,2022,tonne,"Eutrophication, freshwater",kg P eq,,,,21.4,4.5,0.0,0.000222,0.000952,0.000618,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.0047507999999999995,0.0042840000000000005,0.0,0.009034799999999999
C8_2022,C8,2022,tonne,"Eutrophication, marine",kg N eq,,,,21.4,4.5,0.0,0.002677,0.002767,0.002898,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.0572878,0.012451499999999999,0.0,0.0697393
C8_2022,C8,2022,tonne,"Eutrophication, terrestrial",mol N eq,,,,21.4,4.5,0.0,0.241389,0.052171,0.058383,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,5.1657246,0.23476950000000002,0.0,5.4004940999999995
C8_2022,C8,2022,tonne,"Human toxicity, cancer",CTUh,,,,21.4,4.5,0.0,5.34e-10,2.54e-09,1.77e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,1.14276e-08,1.143e-08,0.0,2.28576e-08
C8_2022,C8,2022,tonne,"Human toxicity, cancer - inorganics",CTUh,,,,21.4,4.5,0.0,0.0,6.21e-18,5.01e-18,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.0,2.7945000000000003e-17,0.0,2.7945000000000003e-17
C8_2022,C8,2022,tonne,"Human toxicity, cancer - metals",CTUh,,,,21.4,4.5,0.0,3.5e-10,2.13e-09,1.34e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,7.49e-09,9.585e-09,0.0,1.7075e-08
C8_2022,C8,2022,tonne,"Human toxicity, cancer - organics",CTUh,,,,21.4,4.5,0.0,1.84e-10,4.05e-10,4.32e-10,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,3.9376e-09,1.8225e-09,0.0,5.7601e-09
C8_2022,C8,2022,tonne,"Human toxicity, non-cancer",CTUh,,,,21.4,4.5,0.0,2e-08,6.49e-08,9.9e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,4.2799999999999997e-07,2.9205e-07,0.0,7.2005e-07
C8_2022,C8,2022,tonne,"Human toxicity, non-cancer - inorganics",CTUh,,,,21.4,4.5,0.0,1.72e-09,1.45e-08,6.51e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,3.6808e-08,6.525e-08,0.0,1.02058e-07
C8_2022,C8,2022,tonne,"Human toxicity, non-cancer - metals",CTUh,,,,21.4,4.5,0.0,1.73e-08,4.89e-08,3.21e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,3.7021999999999994e-07,2.2005000000000001e-07,0.0,5.902699999999999e-07
C8_2022,C8,2022,tonne,"Human toxicity, non-cancer - organics",CTUh,,,,21.4,4.5,0.0,1.35e-09,1.78e-09,2.01e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,2.889e-08,8.01e-09,0.0,3.69e-08
C8_2022,C8,2022,tonne,Ionising radiation,kBq U-235 eq,,,,21.4,4.5,0.0,0.099841,0.337545,0.245573,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,2.1365974,1.5189525,0.0,3.6555498999999996
C8_2022,C8,2022,tonne,Land use,Pt,,,,21.4,4.5,0.0,2.291069,30.93982,25.134,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,49.02887659999999,139.22919000000002,0.0,188.2580666
C8_2022,C8,2022,tonne,Ozone depletion,kg CFC11 eq,,,,21.4,4.5,0.0,3.58e-07,3.47e-07,3.94e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,7.661199999999999e-06,1.5615000000000002e-06,0.0,9.222699999999999e-06
C8_2022,C8,2022,tonne,Particulate matter,disease inc.,,,,21.4,4.5,0.0,3.99e-07,2.34e-07,2.27e-07,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,8.5386e-06,1.053e-06,0.0,9.5916e-06
C8_2022,C8,2022,tonne,Photochemical ozone formation,kg NMVOC eq,,,,21.4,4.5,0.0,0.003983,0.00811,0.007996,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.0852362,0.036495,0.0,0.1217312
C8_2022,C8,2022,tonne,"Resource use, fossils",MJ,,,,21.4,4.5,0.0,46.52414,42.89925,42.33106,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,995.616596,193.046625,0.0,1188.663221
C8_2022,C8,2022,tonne,"Resource use, minerals and metals",kg Sb eq,,,,21.4,4.5,0.0,2.71e-05,5.39e-05,5.15e-05,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,,,,0.00057994,0.00024255000000000001,0.0,0.00082249
