dmu_id,farmer_id,year,basis,impact_category,impact_unit,n_amount_kg_ha,p_amount_kg_ha,k_amount_kg_ha,n_amount_kg_tonne,p_amount_kg_tonne,k_amount_kg_tonne,n_factor_per_unit,p_factor_per_unit,k_factor_per_unit,n_factor_unit,p_factor_unit,k_factor_unit,n_characterisation_sheet,p_characterisation_sheet,k_characterisation_sheet,n_impact,p_impact,k_impact,fertilisation_total_impact
C2_2022,C2,2022,ha,Climate change - Fossil,kg CO2 eq,101.4,60.0,0.0,,,,3.752439,2.829413,2.809194,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,380.4973146,169.76478,0.0,550.2620946
C2_2022,C2,2022,ha,Climate change - Land use and LU change,kg CO2 eq,101.4,60.0,0.0,,,,0.000518,0.014337,0.005725,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0525252,0.8602200000000001,0.0,0.9127452000000001
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater",CTUe,101.4,60.0,0.0,,,,24.51813,397.7709,2018.182,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2486.138382,23866.254,0.0,26352.392382
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater - inorganics",CTUe,101.4,60.0,0.0,,,,7.823272,76.92257,397.7561,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,793.2797808,4615.3542,0.0,5408.633980799999
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater - metals",CTUe,101.4,60.0,0.0,,,,16.52071,320.1271,1619.55,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1675.1999940000003,19207.626,0.0,20882.825994
C2_2022,C2,2022,ha,"Ecotoxicity, freshwater - organics",CTUe,101.4,60.0,0.0,,,,0.174143,0.721252,0.87605,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,17.6581002,43.27512,0.0,60.9332202
C2_2022,C2,2022,ha,"Eutrophication, freshwater",kg P eq,101.4,60.0,0.0,,,,0.000222,0.000952,0.000618,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0225108,0.057120000000000004,0.0,0.0796308
C2_2022,C2,2022,ha,"Eutrophication, marine",kg N eq,101.4,60.0,0.0,,,,0.002677,0.002767,0.002898,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.2714478,0.16602,0.0,0.4374678
C2_2022,C2,2022,ha,"Eutrophication, terrestrial",mol N eq,101.4,60.0,0.0,,,,0.241389,0.052171,0.058383,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,24.4768446,3.1302600000000003,0.0,27.6071046
C2_2022,C2,2022,ha,"Human toxicity, cancer",CTUh,101.4,60.0,0.0,,,,5.34e-10,2.54e-09,1.77e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,5.414760000000001e-08,1.524e-07,0.0,2.0654759999999998e-07
C2_2022,C2,2022,ha,"Human toxicity, cancer - inorganics",CTUh,101.4,60.0,0.0,,,,0.0,6.21e-18,5.01e-18,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,0.0,3.726e-16,0.0,3.726e-16
C2_2022,C2,2022,ha,"Human toxicity, cancer - metals",CTUh,101.4,60.0,0.0,,,,3.5e-10,2.13e-09,1.34e-09,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,3.549e-08,1.278e-07,0.0,1.6329e-07
C2_2022,C2,2022,ha,"Human toxicity, cancer - organics",CTUh,101.4,60.0,0.0,,,,1.84e-10,4.05e-10,4.32e-10,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1.8657600000000002e-08,2.43e-08,0.0,4.29576e-08
C2_2022,C2,2022,ha,"Human toxicity, non-cancer",CTUh,101.4,60.0,0.0,,,,2e-08,6.49e-08,9.9e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,2.0280000000000003e-06,3.894e-06,0.0,5.922e-06
C2_2022,C2,2022,ha,"Human toxicity, non-cancer - inorganics",CTUh,101.4,60.0,0.0,,,,1.72e-09,1.45e-08,6.51e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1.74408e-07,8.7e-07,0.0,1.0444080000000001e-06
C2_2022,C2,2022,ha,"Human toxicity, non-cancer - metals",CTUh,101.4,60.0,0.0,,,,1.73e-08,4.89e-08,3.21e-08,1 kg N,1 kg P2O5,1 kg K2O,8_chara,9_chara,10_chara,1.75422e-06,2.934e-06,0.0,4.68822e-06
