dmu_id,farmer_id,year,basis,impact_category,impact_unit,herbicide_amount_kg_ha,fungicide_amount_kg_ha,pesticide_amount_kg_ha,herbicide_amount_kg_tonne,fungicide_amount_kg_tonne,pesticide_amount_kg_tonne,herbicide_factor_per_unit,fungicide_factor_per_unit,pesticide_factor_per_unit,herbicide_factor_unit,fungicide_factor_unit,pesticide_factor_unit,herbicide_factor_group,fungicide_factor_group,pesticide_factor_group,herbicide_characterisation_sheets,fungicide_characterisation_sheets,pesticide_characterisation_sheets,herbicide_single_score_file,fungicide_single_score_file,pesticide_single_score_file,herbicide_impact,fungicide_impact,pesticide_impact,crop_protection_total_impact
C1_2022,C1,2022,ha,Photochemical ozone formation,Pt,0.2407447735,0.5290984321,0.0995121951,,,,0.0482284,0.03470854,0.038507059999999996,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0116107352342674,0.018364234094480136,0.003831922067447406,0.03380689139619494
C1_2022,C1,2022,ha,"Resource use, fossils",Pt,0.2407447735,0.5290984321,0.0995121951,,,,1337963.403,941010.855,1030841.5170000001,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,322107.6964065242,497887.3679695804,102581.30215688399,922576.3665329886
C1_2022,C1,2022,ha,"Resource use, minerals and metals",Pt,0.2407447735,0.5290984321,0.0995121951,,,,2.9472e-07,2.208e-07,2.5343999999999997e-07,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,7.095229964592e-08,1.1682493380767999e-07,2.5220370726144e-08,2.12997604179744e-07
C1_2022,C1,2022,ha,Total,Pt,0.2407447735,0.5290984321,0.0995121951,,,,13176815.469822299,14456166.866849951,540489472.3400254,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,3172249.4557336657,7648735.223426278,53785293.820996664,64606278.50015661
C1_2022,C1,2022,ha,Water use,Pt,0.2407447735,0.5290984321,0.0995121951,,,,1884.394864,1440.918633,1631.081551,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,453.65821471824336,762.3877895039752,162.3125055271226,1378.358509749341
C1_2023,C1,2023,ha,Acidification,Pt,0.9672687321,0.0,0.0748846407,,,,0.17838808,0.13245375999999998,0.14868711999999998,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.17254921196335338,0.0,0.011134381557917784,0.18368359352127117
C1_2023,C1,2023,ha,Climate change,Pt,0.9672687321,0.0,0.0748846407,,,,24201.564,16691.588519999998,18147.4914,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,23409.416125117,0.0,1358.96837309534,24768.38449821234
C1_2023,C1,2023,ha,Climate change - Biogenic,Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,Climate change - Fossil,Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,Climate change - Land use and LU change,Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater",Pt,0.9672687321,0.0,0.0748846407,,,,1460507.7396,3825051.6733000004,529018443.3026,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,1412703.469505129,0.0,39615356.05038853,41028059.51989366
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - inorganics",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - metals",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Ecotoxicity, freshwater - organics",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Eutrophication, freshwater",Pt,0.9672687321,0.0,0.0748846407,,,,0.0001366398,0.000103618,0.000118759,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.00013216740610039757,0.0,8.893225044891301e-06,0.00014106063114528887
C1_2023,C1,2023,ha,"Eutrophication, marine",Pt,0.9672687321,0.0,0.0748846407,,,,0.010586454,0.008716038,0.009537278,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.010239945938014973,0.0,0.0007141956362860146,0.010954141574300988
C1_2023,C1,2023,ha,"Eutrophication, terrestrial",Pt,0.9672687321,0.0,0.0748846407,,,,0.60443343,0.45373077,0.50045004,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.5846495574749542,0.0,0.037476021433700636,0.6221255789086548
C1_2023,C1,2023,ha,"Human toxicity, cancer",Pt,0.9672687321,0.0,0.0748846407,,,,5.3791999999999995e-15,5.9696e-15,4.6166e-15,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,5.20313196371232e-15,0.0,3.4571243225562e-16,5.54884439596794e-15
C1_2023,C1,2023,ha,"Human toxicity, cancer - inorganics",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Human toxicity, cancer - metals",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Human toxicity, cancer - organics",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Human toxicity, non-cancer",Pt,0.9672687321,0.0,0.0748846407,,,,7.236719999999999e-12,3.766066e-12,1.5654213999999998e-09,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,6.9998529789627105e-12,0.0,1.1722601908309097e-10,1.2422587206205368e-10
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - inorganics",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - metals",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
C1_2023,C1,2023,ha,"Human toxicity, non-cancer - organics",Pt,0.9672687321,0.0,0.0748846407,,,,0.0,0.0,0.0,1 kg herbicide active substance,1 kg fungicide active substance,1 kg insecticide active substance,herbicide,fungicide,pesticide_insecticide,,,,herbicide_single_score.json,fungicide_single_score.json,pesticide_insecticide_single_score.json,0.0,0.0,0.0,0.0
