dmu_id,farmer_id,year,area_ha,production_t,operation_rows_n,centrifugal_spreader_ha_worked_total,centrifugal_spreader_ha_worked_per_ha,centrifugal_spreader_ha_worked_per_tonne,combine_harvester_ha_worked_total,combine_harvester_ha_worked_per_ha,combine_harvester_ha_worked_per_tonne,disk_harrow_ha_worked_total,disk_harrow_ha_worked_per_ha,disk_harrow_ha_worked_per_tonne,laser_leveler_ha_worked_total,laser_leveler_ha_worked_per_ha,laser_leveler_ha_worked_per_tonne,rotary_tiller_ha_worked_total,rotary_tiller_ha_worked_per_ha,rotary_tiller_ha_worked_per_tonne,seeder_ha_worked_total,seeder_ha_worked_per_ha,seeder_ha_worked_per_tonne,sprayer_ha_worked_total,sprayer_ha_worked_per_ha,sprayer_ha_worked_per_tonne
C4_2023,C4,2023,23.84,107.3744,16,71.52,3.0,0.6660805555,23.84,1.0,0.2220268518,71.52,3.0,0.6660805555,23.84,1.0,0.2220268518,23.84,1.0,0.2220268518,0.0,0.0,0.0,70.72,2.966442953,0.65862999
C4_2024,C4,2024,23.87,197.4649,18,71.61,3.0,0.3626467286,23.87,1.0,0.1208822429,71.61,3.0,0.3626467286,23.87,1.0,0.1208822429,47.74,2.0,0.2417644857,0.0,0.0,0.0,117.51,4.9229157939,0.5950931026
C5_2022,C5,2022,35.75,214.045,16,107.25,3.0,0.5010628606,35.75,1.0,0.1670209535,107.25,3.0,0.5010628606,35.75,1.0,0.1670209535,35.75,1.0,0.1670209535,0.0,0.0,0.0,133.0,3.7202797203,0.6213646663
C5_2023,C5,2023,35.44,217.4936,24,106.32,3.0,0.4888419705,35.44,1.0,0.1629473235,106.32,3.0,0.4888419705,35.44,1.0,0.1629473235,35.44,1.0,0.1629473235,0.0,0.0,0.0,177.76,5.0158013544,0.8173114059
C5_2024,C5,2024,35.44,290.5825,24,141.76,4.0,0.4878476853,35.44,1.0,0.1219619213,106.32,3.0,0.3658857639,35.44,1.0,0.1219619213,70.88,2.0,0.2439238426,0.0,0.0,0.0,200.82,5.6664785553,0.6910946117
C6_2022,C6,2022,73.11,157.1865,16,267.33,3.6565449323,1.7007185732,73.11,1.0,0.4651162791,146.22,2.0,0.9302325581,73.11,1.0,0.4651162791,73.11,1.0,0.4651162791,0.0,0.0,0.0,352.73,4.824647791,2.2440222284
C6_2023,C6,2023,71.09,204.7392,21,213.27,3.0,1.0416666667,71.09,1.0,0.3472222222,142.18,2.0,0.6944444444,71.09,1.0,0.3472222222,71.09,1.0,0.3472222222,0.0,0.0,0.0,473.75,6.6640877761,2.3139193667
C6_2024,C6,2024,54.22,393.095,15,162.66,3.0,0.4137931034,125.31,2.3111398008,0.3187779036,108.44,2.0,0.275862069,54.22,1.0,0.1379310345,54.22,1.0,0.1379310345,0.0,0.0,0.0,326.57,6.0230542235,0.8307660998
C7_2023,C7,2023,37.33,248.2616,25,74.66,2.0,0.3007311642,37.33,1.0,0.1503655821,111.99,3.0,0.4510967463,37.33,1.0,0.1503655821,37.33,1.0,0.1503655821,37.33,1.0,0.1503655821,298.64,8.0,1.2029246569
C7_2024,C7,2024,37.35,157.786,23,100.7,2.6961178046,0.638206178,37.35,1.0,0.2367130164,224.1,6.0,1.4202780982,74.7,2.0,0.4734260327,74.7,2.0,0.4734260327,37.35,1.0,0.2367130164,201.85,5.4042838019,1.27926432
C8_2022,C8,2022,58.32,323.9088,36,187.46,3.2143347051,0.5787431524,58.32,1.0,0.1800506809,174.96,3.0,0.5401520428,58.32,1.0,0.1800506809,0.0,0.0,0.0,0.0,0.0,0.0,426.6,7.3148148148,1.3170373883
C8_2023,C8,2023,58.04,334.3764,27,116.08,2.0,0.3471536867,58.04,1.0,0.1735768433,174.12,3.0,0.52073053,58.04,1.0,0.1735768433,58.04,1.0,0.1735768433,58.04,1.0,0.1735768433,457.34,7.8797381116,1.3677400678
C8_2024,C8,2024,59.12,233.6194,22,177.36,3.0,0.7591835267,59.12,1.0,0.2530611756,177.36,3.0,0.7591835267,59.12,1.0,0.2530611756,59.12,1.0,0.2530611756,0.0,0.0,0.0,181.44,3.0690121786,0.7766478298
D1_2022,D1,2022,12.25,16.66,16,18.85,1.5387755102,1.131452581,12.25,1.0,0.7352941176,36.75,3.0,2.2058823529,12.25,1.0,0.7352941176,12.25,1.0,0.7352941176,12.25,1.0,0.7352941176,95.2,7.7714285714,5.7142857143
