dmu_id,farmer_id,year,operation_category,operation,equipment,repetitions,ha_worked_total,dmu_area_ha,dmu_production_t,ha_worked_per_ha,ha_worked_per_tonne
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,1.95,111.38000000000001,777.8801000000001,0.0175076315316933,0.0025068130679779567
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,34.06,111.38000000000001,777.8801000000001,0.3057999640869097,0.04378566825401498
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,75.37,111.38000000000001,777.8801000000001,0.676692404381397,0.09689153894025569
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,1.95,111.38000000000001,777.8801000000001,0.0175076315316933,0.0025068130679779567
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,34.06,111.38000000000001,777.8801000000001,0.3057999640869097,0.04378566825401498
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,75.37,111.38000000000001,777.8801000000001,0.676692404381397,0.09689153894025569
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,1.95,111.38000000000001,777.8801000000001,0.0175076315316933,0.0025068130679779567
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,34.06,111.38000000000001,777.8801000000001,0.3057999640869097,0.04378566825401498
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,75.37,111.38000000000001,777.8801000000001,0.676692404381397,0.09689153894025569
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,1.95,111.38000000000001,777.8801000000001,0.0175076315316933,0.0025068130679779567
C2_2022,C2,2022,crop_protection,herbicide,sprayer,1.0,5.0,111.38000000000001,777.8801000000001,0.04489136290177769,0.0064277258153280946
C2_2022,C2,2022,crop_protection,pesticide,sprayer,1.0,20.0,111.38000000000001,777.8801000000001,0.17956545160711077,0.025710903261312378
C2_2022,C2,2022,sowing,sementeira,centrifugal_spreader,1.0,34.06,111.38000000000001,777.8801000000001,0.3057999640869097,0.04378566825401498
C2_2022,C2,2022,sowing,sementeira,centrifugal_spreader,1.0,75.37,111.38000000000001,777.8801000000001,0.676692404381397,0.09689153894025569
C2_2022,C2,2022,sowing,sementeira,centrifugal_spreader,1.0,1.95,111.38000000000001,777.8801000000001,0.0175076315316933,0.0025068130679779567
C2_2023,C2,2023,soil_operation,disk_harrow x3,disk_harrow,3.0,345.63,115.21,1003.1591999999999,3.0,0.3445415244160648
C2_2023,C2,2023,soil_operation,fertiliser_integration,rotary_tiller,1.0,115.21,115.21,1003.1591999999999,1.0,0.11484717480535492
C2_2023,C2,2023,soil_operation,levelling,laser_leveler,1.0,115.21,115.21,1003.1591999999999,1.0,0.11484717480535492
C2_2023,C2,2023,harvest,colheita,combine_harvester,1.0,115.21,115.21,1003.1591999999999,1.0,0.11484717480535492
C2_2023,C2,2023,basal_fertilisation,adubação fundo,centrifugal_spreader,1.0,115.21,115.21,1003.1591999999999,1.0,0.11484717480535492
