dmu_id,farmer_id,year,area_ha,production_t,yield_kg_ha,crop_protection_kg_ai_ha,n_kg_ha,climate_change_without_ch4_kg_co2_eq_ha,crop_protection_non_ch4_climate_change_kg_co2_eq_ha,fertilisation_non_ch4_climate_change_kg_co2_eq_ha,field_emissions_non_ch4_climate_change_kg_co2_eq_ha,machines_non_ch4_climate_change_kg_co2_eq_ha,sowing_non_ch4_climate_change_kg_co2_eq_ha,water_non_ch4_climate_change_kg_co2_eq_ha,dea_theta_non_ch4_climate_adjusted_vrs,dea_status_non_ch4_climate_adjusted_vrs,efficient_non_ch4_climate_adjusted_vrs
C5_2023,C5,2023,35.44,217.4936,6136.952595936795,1.248510158,112.97,2000.949650658291,17.0711290923656,555.54522055,334.2639269300226,511.390496613992,582.6788774719106,0.0,0.809817365995521,optimal,False
C6_2023,C6,2023,71.09,204.7392,2880.0,2.2741707694,134.5,2327.3433819557927,29.199717147919703,642.4999504,481.70442499999996,494.1216894078729,679.8176,0.0,0.6549638003666802,optimal,False
C7_2023,C7,2023,37.33,248.2616,6650.458076613983,2.56,112.23,2167.8594622704472,34.5929464,676.20866886,394.6637670104473,518.54,543.85408,0.0,0.758477690783274,optimal,False
C8_2023,C8,2023,58.04,334.3764,5761.137146795313,3.0149000689000003,76.8,1820.1911175669002,39.60997774226302,541.8918112,278.4999940692492,518.307894555388,441.88144,0.0,0.8974652270052689,optimal,False
D1_2023,D1,2023,17.99,88.151,4900.0,1.21,47.0,2077.1442204,16.1341264,600.791684,195.26905,517.15,747.79936,0.0,0.9999999999999996,optimal,True
D2_2023,D2,2023,18.22,88.1848,4840.0,1.3599999999999999,81.8,2144.3035313600003,16.65765376,561.9658676,296.87065,521.01,747.79936,0.0,0.7755550226380731,optimal,False
NT1_2023,NT1,2023,14.92,96.8308,6490.0,0.12,89.6,1694.127688,1.6407839999999998,493.502684,265.45662000000004,253.71,679.8176,0.0,0.9999999999999998,optimal,True
NT2_2023,NT2,2023,20.19,147.5889,7310.0,2.88,129.5,2068.1696599999996,39.378816,698.567519,485.420125,334.93999999999994,509.8632,0.0,0.809861271609072,optimal,False
C1_2024,C1,2024,45.51,227.7032,5003.366293122391,1.3489650626,129.0,2270.5648559730034,18.11346743467932,569.693148,452.98875000000004,573.3444275983969,656.4250629399271,0.0,0.691334732639121,optimal,False
C2_2024,C2,2024,120.72,892.1208,7390.000000000001,0.3735487078,130.51,2110.9140235147293,5.10760619149096,601.3209079,449.81473459244535,510.816694830793,543.85408,0.0,0.82815658913397,optimal,False
C3_2024,C3,2024,112.23,723.4214,6445.882562594671,0.4984941637,114.4,2134.4665715362526,6.626982331855684,555.95359117,411.9787,509.0650833111219,650.8422147232752,0.0,0.7823758336358853,optimal,False
C4_2024,C4,2024,23.87,197.4649,8272.513615416841,0.7220276498,116.0,2194.1159579434725,9.87242846124536,634.741842,390.79549999999995,580.861227482227,577.84496,0.0,0.7861312663224471,optimal,False
C5_2024,C5,2024,35.44,290.5825,8199.280474040632,1.9881376975,93.58,1844.448252893826,27.184204365457,408.25288956,274.93280100000004,609.176303611729,524.90205435664,0.0,0.9305042370386127,optimal,False
C6_2024,C6,2024,54.22,393.095,7250.000000000001,1.4342641092,127.6,2428.64266022398,17.76397481791344,632.7497692,455.90360000000004,710.3894762060669,611.83584,0.0,0.6885086717508162,optimal,False
C7_2024,C7,2024,37.35,157.786,4224.524765729585,1.7874966533,140.41,2790.369592563128,24.1940923128442,939.45029027,461.45833565496923,787.4219143253149,577.84496,0.0,0.5505881000303747,optimal,False
C8_2024,C8,2024,59.12,233.6194,3951.613667117727,0.7515764546999999,136.0,2118.4035573882866,9.619691883588278,681.3638920000001,375.9327,507.633193504698,543.85408,0.0,0.7607802536086326,optimal,False
D1_2024,D1,2024,24.8,137.368,5539.032258064516,1.3285967742,136.0,2127.2932669730644,16.60053045699144,681.3638920000001,375.9327,509.54206451607297,543.85408,0.0,0.7486559014549683,optimal,False
D2_2024,D2,2024,18.22,123.3494,6770.000000000001,1.22,106.0,2286.348716,16.681304,737.774692,366.986,519.0799999999999,645.82672,0.0,0.7216002055070674,optimal,False
NT1_2024,NT1,2024,37.9,269.469,7110.0,1.35,302.08,3700.7003049768505,18.45882,1871.51399478,771.3672501968503,257.57,781.7902399999999,0.0,0.4531119754224945,optimal,False
NT2_2024,NT2,2024,20.19,96.3063,4770.0,0.88,91.0,1778.822628,12.032416,596.505262,331.27175,329.1499999999999,509.8632,0.0,0.8847855632949105,optimal,False
