dmu_id,farmer_id,year,area_ha,production_t,yield_kg_ha,crop_protection_kg_ai_ha,n_kg_ha,climate_change_kg_co2_eq_ha,crop_protection_climate_change_kg_co2_eq_ha,fertilisation_climate_change_kg_co2_eq_ha,field_emissions_climate_change_kg_co2_eq_ha,machines_climate_change_kg_co2_eq_ha,sowing_climate_change_kg_co2_eq_ha,water_climate_change_kg_co2_eq_ha,dea_theta_climate_adjusted_vrs,dea_status_climate_adjusted_vrs,efficient_climate_adjusted_vrs
C2_2023,C2,2023,115.21,1003.1592,8707.223331308047,0.5864959639,78.37,19329.17588232156,7.778837645078585,351.15026034000005,17847.54259870775,510.8683456287329,611.83584,0.0,0.9999999999999997,optimal,True
C3_2023,C3,2023,112.23,639.8522,5701.25813062461,0.4528842556,109.8,19553.114020756697,6.049893170613777,495.19152845,17984.076422,512.184759868056,555.6114172680304,0.0,0.983282448086449,optimal,False
C4_2023,C4,2023,23.84,107.3744,4503.959731543624,0.3889261745,146.48,19935.091553338385,4.871609079095894,635.3179973599999,18107.649112,507.43523489929,679.8176,0.0,0.9649723437018842,optimal,False
C5_2023,C5,2023,35.44,217.4936,6136.952595936795,1.248510158,112.97,19590.24792265829,17.0711290923656,555.54522055,17923.562198930023,511.390496613992,582.6788774719106,0.0,0.9805747289888882,optimal,False
C6_2023,C6,2023,71.09,204.7392,2880.0,2.2741707694,134.5,19916.64165395579,29.199717147919703,642.4999504,18071.002697,494.1216894078729,679.8176,0.0,0.9596810682391185,optimal,False
C7_2023,C7,2023,37.33,248.2616,6650.458076613983,2.56,112.23,19757.157734270448,34.5929464,676.20866886,17983.962039010446,518.54,543.85408,0.0,0.9734988994658474,optimal,False
C8_2023,C8,2023,58.04,334.3764,5761.137146795313,3.0149000689000003,76.8,19409.489389566905,39.60997774226302,541.8918112,17867.79826606925,518.307894555388,441.88144,0.0,0.9888066935512275,optimal,False
D1_2023,D1,2023,17.99,88.151,4900.0,1.21,47.0,19666.4424924,16.1341264,600.791684,17784.567322,517.15,747.79936,0.0,1.0000000000000002,optimal,True
D2_2023,D2,2023,18.22,88.1848,4840.0,1.3599999999999999,81.8,19733.60180336,16.65765376,561.9658676,17886.168922,521.01,747.79936,0.0,0.9703963838477636,optimal,False
NT1_2023,NT1,2023,14.92,96.8308,6490.0,0.12,89.6,19283.425959999997,1.6407839999999998,493.502684,17854.754892,253.71,679.8176,0.0,1.0000000000000002,optimal,True
NT2_2023,NT2,2023,20.19,147.5889,7310.0,2.88,129.5,19657.467932,39.378816,698.567519,18074.718397,334.93999999999994,509.8632,0.0,0.9799954322393108,optimal,False
C1_2024,C1,2024,45.51,227.7032,5003.366293122391,1.3489650626,129.0,19859.863127973003,18.11346743467932,569.693148,18042.287022,573.3444275983969,656.4250629399271,0.0,0.9646093459167886,optimal,False
C2_2024,C2,2024,120.72,892.1208,7390.000000000001,0.3735487078,130.51,19700.212295514728,5.10760619149096,601.3209079,18039.113006592444,510.816694830793,543.85408,0.0,0.9795471212164426,optimal,False
C3_2024,C3,2024,112.23,723.4214,6445.882562594671,0.4984941637,114.4,19723.76484353625,6.626982331855684,555.95359117,18001.276972,509.0650833111219,650.8422147232752,0.0,0.9760414678939593,optimal,False
C4_2024,C4,2024,23.87,197.4649,8272.513615416841,0.7220276498,116.0,19783.41422994347,9.87242846124536,634.741842,17980.093772,580.861227482227,577.84496,0.0,0.9760180450296526,optimal,False
C5_2024,C5,2024,35.44,290.5825,8199.280474040632,1.9881376975,93.58,19433.746524893828,27.184204365457,408.25288956,17864.231073,609.176303611729,524.90205435664,0.0,0.9934041879977485,optimal,False
C6_2024,C6,2024,54.22,393.095,7250.000000000001,1.4342641092,127.6,20017.94093222398,17.76397481791344,632.7497692,18045.201872,710.3894762060669,611.83584,0.0,0.962208844024605,optimal,False
C7_2024,C7,2024,37.35,157.786,4224.524765729585,1.7874966533,140.41,20379.667864563125,24.1940923128442,939.45029027,18050.75660765497,787.4219143253149,577.84496,0.0,0.9382295548858657,optimal,False
C8_2024,C8,2024,59.12,233.6194,3951.613667117727,0.7515764546999999,136.0,19707.70182938829,9.619691883588278,681.3638920000001,17965.230972,507.633193504698,543.85408,0.0,0.9728096311443849,optimal,False
D1_2024,D1,2024,24.8,137.368,5539.032258064516,1.3285967742,136.0,19716.59153897307,16.60053045699144,681.3638920000001,17965.230972,509.54206451607297,543.85408,0.0,0.9728815902347273,optimal,False
D2_2024,D2,2024,18.22,123.3494,6770.000000000001,1.22,106.0,19875.646988000004,16.681304,737.774692,17956.284272,519.0799999999999,645.82672,0.0,0.9679749286622954,optimal,False
NT1_2024,NT1,2024,37.9,269.469,7110.0,1.35,302.08,21289.99857697685,18.45882,1871.51399478,18360.66552219685,257.57,781.7902399999999,0.0,0.9044120936781588,optimal,False
NT2_2024,NT2,2024,20.19,96.3063,4770.0,0.88,91.0,19368.1209,12.032416,596.505262,17920.570022,329.1499999999999,509.8632,0.0,0.9890117520778304,optimal,False
